# project_name,OG
# subproject_name,
# primary_contact,Shannon Corrigan
# primary_contact_institution,Ocean Genomes Minderoo Ocean Omics Centre at University of Western Australia Crawley Perth Australia
# primary_contact_email,oceangenomes@uwa.edu.au
# date_of_update,17/06/2024
# schema_version,ebp_species_goat_2.6
"ncbi_taxon_id","species","subspecies","family","target_list_status","sequencing_status","synonym","publication_id"
"1266863","Antigonia combatia","-","Caproidae","long_list","-","-","-"
"2772456","Antigonia emanuela","-","Caproidae","long_list","-","-","-"
"-","Antigonia eos","-","Caproidae","long_list","-","Antigonia eos","-"
"-","Antigonia hulleyi","-","Caproidae","long_list","-","Antigonia hulleyi","-"
"2772445","Antigonia indica","-","Caproidae","long_list","-","-","-"
"-","Antigonia kenyae","-","Caproidae","long_list","-","Antigonia kenyae","-"
"3040391","Antigonia malayana","-","Caproidae","long_list","-","-","-"
"2772446","Antigonia ovalis","-","Caproidae","long_list","-","-","-"
"-","Antigonia quiproqua","-","Caproidae","long_list","-","Antigonia quiproqua","-"
"-","Antigonia rhomboidea","-","Caproidae","long_list","-","Antigonia rhomboidea","-"
"990554","Antigonia rubescens","-","Caproidae","long_list","-","-","-"
"1868305","Antigonia rubicunda","-","Caproidae","long_list","-","-","-"
"-","Antigonia saya","-","Caproidae","long_list","-","Antigonia saya","-"
"-","Antigonia socotrae","-","Caproidae","long_list","-","Antigonia socotrae","-"
"-","Antigonia undulata","-","Caproidae","long_list","-","Antigonia undulata","-"
"-","Antigonia xenolepis","-","Caproidae","long_list","-","Antigonia xenolepis","-"
"206100","Capros aper","-","Caproidae","long_list","-","-","-"
"272792","Amphichaetodon howensis","-","Chaetodontidae","long_list","-","-","-"
"466110","Amphichaetodon melbae","-","Chaetodontidae","long_list","-","-","-"
"466112","Chaetodon adiergastos","-","Chaetodontidae","long_list","-","-","-"
"-","Chaetodon andamanensis","-","Chaetodontidae","long_list","-","Chaetodon andamanensis","-"
"39041","Chaetodon argentatus","-","Chaetodontidae","long_list","-","-","-"
"2609490","Chaetodon assarius","-","Chaetodontidae","long_list","-","-","-"
"109683","Chaetodon aureofasciatus","-","Chaetodontidae","long_list","-","-","-"
"39042","Chaetodon auriga","-","Chaetodontidae","long_list","-","-","-"
"215361","Chaetodon auripes","-","Chaetodontidae","long_list","-","-","-"
"109684","Chaetodon austriacus","-","Chaetodontidae","long_list","-","-","-"
"109685","Chaetodon baronessa","-","Chaetodontidae","long_list","-","-","-"
"466113","Chaetodon bennetti","-","Chaetodontidae","long_list","-","-","-"
"603438","Chaetodon blackburnii","-","Chaetodontidae","long_list","-","-","-"
"466114","Chaetodon burgessi","-","Chaetodontidae","long_list","-","-","-"
"37949","Chaetodon capistratus","-","Chaetodontidae","long_list","-","-","-"
"109686","Chaetodon citrinellus","-","Chaetodontidae","long_list","-","-","-"
"109687","Chaetodon collare","-","Chaetodontidae","long_list","-","-","-"
"1508076","Chaetodon daedalma","-","Chaetodontidae","long_list","-","-","-"
"1567456","Chaetodon declivis","-","Chaetodontidae","long_list","-","-","-"
"109688","Chaetodon decussatus","-","Chaetodontidae","long_list","-","-","-"
"2055253","Chaetodon dialeucos","-","Chaetodontidae","long_list","-","-","-"
"466115","Chaetodon dolosus","-","Chaetodontidae","long_list","-","-","-"
"109689","Chaetodon ephippium","-","Chaetodontidae","long_list","-","-","-"
"466116","Chaetodon falcula","-","Chaetodontidae","long_list","-","-","-"
"466117","Chaetodon fasciatus","-","Chaetodontidae","long_list","-","-","-"
"109690","Chaetodon flavirostris","-","Chaetodontidae","long_list","-","-","-"
"-","Chaetodon flavocoronatus","-","Chaetodontidae","long_list","-","Chaetodon flavocoronatus","-"
"358767","Chaetodon fremblii","-","Chaetodontidae","long_list","-","-","-"
"-","Chaetodon gardineri","-","Chaetodontidae","long_list","-","Chaetodon gardineri","-"
"466118","Chaetodon guentheri","-","Chaetodontidae","long_list","sample_acquired","-","-"
"39043","Chaetodon guttatissimus","-","Chaetodontidae","long_list","-","-","-"
"466119","Chaetodon hoefleri","-","Chaetodontidae","long_list","-","-","-"
"603439","Chaetodon humeralis","-","Chaetodontidae","long_list","-","-","-"
"603440","Chaetodon interruptus","-","Chaetodontidae","long_list","-","-","-"
"109691","Chaetodon kleinii","-","Chaetodontidae","long_list","sample_acquired","-","-"
"109692","Chaetodon larvatus","-","Chaetodontidae","long_list","-","-","-"
"1702344","Chaetodon leucopleura","-","Chaetodontidae","long_list","-","-","-"
"109693","Chaetodon lineolatus","-","Chaetodontidae","long_list","-","-","-"
"2584971","Chaetodon litus","-","Chaetodontidae","long_list","-","-","-"
"109694","Chaetodon lunula","-","Chaetodontidae","long_list","-","-","-"
"281677","Chaetodon lunulatus","-","Chaetodontidae","long_list","-","-","-"
"39098","Chaetodon madagaskariensis","-","Chaetodontidae","long_list","-","-","-"
"1003702","Chaetodon marleyi","-","Chaetodontidae","long_list","-","-","-"
"109695","Chaetodon melannotus","-","Chaetodontidae","long_list","-","-","-"
"1643782","Chaetodon melapterus","-","Chaetodontidae","long_list","-","-","-"
"39032","Chaetodon mertensii","-","Chaetodontidae","long_list","-","-","-"
"109696","Chaetodon mesoleucos","-","Chaetodontidae","long_list","-","-","-"
"109697","Chaetodon meyeri","-","Chaetodontidae","long_list","sample_acquired","-","-"
"39045","Chaetodon miliaris","-","Chaetodontidae","long_list","-","-","-"
"1003703","Chaetodon mitratus","-","Chaetodontidae","long_list","-","-","-"
"39044","Chaetodon multicinctus","-","Chaetodontidae","long_list","-","-","-"
"1806859","Chaetodon nigropunctatus","-","Chaetodontidae","long_list","-","-","-"
"1517479","Chaetodon nippon","-","Chaetodontidae","long_list","-","-","-"
"466120","Chaetodon ocellatus","-","Chaetodontidae","long_list","-","-","-"
"109698","Chaetodon ocellicaudus","-","Chaetodontidae","long_list","-","-","-"
"109699","Chaetodon octofasciatus","-","Chaetodontidae","long_list","-","-","-"
"109700","Chaetodon ornatissimus","-","Chaetodontidae","long_list","-","-","-"
"109701","Chaetodon oxycephalus","-","Chaetodontidae","long_list","-","-","-"
"39037","Chaetodon paucifasciatus","-","Chaetodontidae","long_list","-","-","-"
"39039","Chaetodon pelewensis","-","Chaetodontidae","long_list","-","-","-"
"2055254","Chaetodon pictus","-","Chaetodontidae","long_list","-","-","-"
"109702","Chaetodon plebeius","-","Chaetodontidae","long_list","-","-","-"
"-","Chaetodon punctatofasciatus","-","Chaetodontidae","long_list","-","Chaetodon punctatofasciatus","-"
"146141","Chaetodon quadrimaculatus","-","Chaetodontidae","long_list","-","-","-"
"109703","Chaetodon rafflesii","-","Chaetodontidae","long_list","-","-","-"
"109704","Chaetodon rainfordi","-","Chaetodontidae","long_list","-","-","-"
"281676","Chaetodon reticulatus","-","Chaetodontidae","long_list","-","-","-"
"466122","Chaetodon robustus","-","Chaetodontidae","long_list","-","-","-"
"603441","Chaetodon sanctaehelenae","-","Chaetodontidae","long_list","-","-","-"
"466123","Chaetodon sedentarius","-","Chaetodontidae","long_list","-","-","-"
"466124","Chaetodon selene","-","Chaetodontidae","long_list","-","-","-"
"466125","Chaetodon semeion","-","Chaetodontidae","long_list","-","-","-"
"241824","Chaetodon semilarvatus","-","Chaetodontidae","long_list","-","-","-"
"-","Chaetodon smithi","-","Chaetodontidae","long_list","-","Chaetodon smithi","-"
"109705","Chaetodon speculum","-","Chaetodontidae","long_list","-","-","-"
"75016","Chaetodon striatus","-","Chaetodontidae","long_list","-","-","-"
"39031","Chaetodon tinkeri","-","Chaetodontidae","long_list","-","-","-"
"2293145","Chaetodon triangulum","-","Chaetodontidae","long_list","-","-","-"
"281678","Chaetodon trichrous","-","Chaetodontidae","long_list","-","-","-"
"603443","Chaetodon tricinctus","-","Chaetodontidae","long_list","-","-","-"
"109706","Chaetodon trifascialis","-","Chaetodontidae","long_list","-","-","-"
"109707","Chaetodon trifasciatus","-","Chaetodontidae","long_list","-","-","-"
"109708","Chaetodon ulietensis","-","Chaetodontidae","long_list","-","-","-"
"281679","Chaetodon unimaculatus","-","Chaetodontidae","long_list","-","-","-"
"109709","Chaetodon vagabundus","-","Chaetodontidae","long_list","-","-","-"
"586794","Chaetodon wiebeli","-","Chaetodontidae","long_list","-","-","-"
"1003704","Chaetodon xanthocephalus","-","Chaetodontidae","long_list","-","-","-"
"39033","Chaetodon xanthurus","-","Chaetodontidae","long_list","-","-","-"
"466126","Chaetodon zanzibarensis","-","Chaetodontidae","long_list","-","-","-"
"466127","Chelmon marginalis","-","Chaetodontidae","long_list","-","-","-"
"603444","Chelmon muelleri","-","Chaetodontidae","long_list","-","-","-"
"109905","Chelmon rostratus","-","Chaetodontidae","long_list","-","-","-"
"603445","Chelmonops curiosus","-","Chaetodontidae","long_list","sample_acquired","-","-"
"466146","Chelmonops truncatus","-","Chaetodontidae","long_list","-","-","-"
"109907","Coradion altivelis","-","Chaetodontidae","long_list","-","-","-"
"109922","Coradion chrysozonus","-","Chaetodontidae","long_list","-","-","-"
"466128","Coradion melanopus","-","Chaetodontidae","long_list","-","-","-"
"109909","Forcipiger flavissimus","-","Chaetodontidae","long_list","-","-","-"
"466130","Forcipiger longirostris","-","Chaetodontidae","long_list","-","-","-"
"-","Forcipiger wanai","-","Chaetodontidae","long_list","-","Forcipiger wanai","-"
"-","Hemitaurichthys multispinosus","-","Chaetodontidae","long_list","-","Hemitaurichthys multispinosus","-"
"109914","Hemitaurichthys polylepis","-","Chaetodontidae","long_list","-","-","-"
"603446","Hemitaurichthys thompsoni","-","Chaetodontidae","long_list","-","-","-"
"109924","Hemitaurichthys zoster","-","Chaetodontidae","long_list","-","-","-"
"109917","Heniochus acuminatus","-","Chaetodontidae","long_list","-","-","-"
"109925","Heniochus chrysostomus","-","Chaetodontidae","long_list","-","-","-"
"215362","Heniochus diphreutes","-","Chaetodontidae","long_list","-","-","-"
"1737030","Heniochus intermedius","-","Chaetodontidae","long_list","-","-","-"
"466131","Heniochus monoceros","-","Chaetodontidae","long_list","-","-","-"
"109926","Heniochus pleurotaenia","-","Chaetodontidae","long_list","-","-","-"
"586825","Heniochus singularius","-","Chaetodontidae","long_list","-","-","-"
"109927","Heniochus varius","-","Chaetodontidae","long_list","-","-","-"
"466148","Johnrandallia nigrirostris","-","Chaetodontidae","long_list","-","-","-"
"109920","Parachaetodon ocellatus","-","Chaetodontidae","long_list","-","-","-"
"109682","Prognathodes aculeatus","-","Chaetodontidae","long_list","-","-","-"
"466151","Prognathodes aya","-","Chaetodontidae","long_list","-","-","-"
"1905211","Prognathodes basabei","-","Chaetodontidae","long_list","-","-","-"
"-","Prognathodes brasiliensis","-","Chaetodontidae","long_list","-","Prognathodes brasiliensis","-"
"-","Prognathodes carlhubbsi","-","Chaetodontidae","long_list","-","Prognathodes carlhubbsi","-"
"-","Prognathodes dichrous","-","Chaetodontidae","long_list","-","Prognathodes dichrous","-"
"744555","Prognathodes falcifer","-","Chaetodontidae","long_list","-","-","-"
"2518598","Prognathodes geminus","-","Chaetodontidae","long_list","sample_acquired","-","-"
"-","Prognathodes guezei","-","Chaetodontidae","long_list","-","Prognathodes guezei","-"
"-","Prognathodes guyanensis","-","Chaetodontidae","long_list","-","Prognathodes guyanensis","-"
"-","Prognathodes guyotensis","-","Chaetodontidae","long_list","-","Prognathodes guyotensis","-"
"603448","Prognathodes marcellae","-","Chaetodontidae","long_list","-","-","-"
"-","Prognathodes obliquus","-","Chaetodontidae","long_list","-","Prognathodes obliquus","-"
"-","Roa australis","-","Chaetodontidae","long_list","-","Roa australis","-"
"-","Roa excelsa","-","Chaetodontidae","long_list","-","Roa excelsa","-"
"2912286","Roa haraguchiae","-","Chaetodontidae","long_list","-","-","-"
"1510181","Roa jayakari","-","Chaetodontidae","long_list","-","-","-"
"1522402","Roa modesta","-","Chaetodontidae","long_list","-","-","-"
"2039807","Roa rumsfeldi","-","Chaetodontidae","long_list","-","-","-"
"-","Roa semilunaris","-","Chaetodontidae","long_list","-","Roa semilunaris","-"
"-","Roa uejoi","-","Chaetodontidae","long_list","-","Roa uejoi","-"
"206149","Drepane africana","-","Drepaneidae","long_list","-","-","-"
"1003726","Drepane longimana","-","Drepaneidae","long_list","-","-","-"
"75022","Drepane punctata","-","Drepaneidae","long_list","-","-","-"
"75018","Chaetodipterus faber","-","Ephippidae","long_list","-","-","-"
"-","Chaetodipterus lippei","-","Ephippidae","long_list","-","Chaetodipterus lippei","-"
"2838343","Chaetodipterus zonatus","-","Ephippidae","long_list","-","-","-"
"-","Ephippus goreensis","-","Ephippidae","long_list","-","Ephippus goreensis","-"
"455453","Ephippus orbis","-","Ephippidae","long_list","-","-","-"
"2986114","Parapsettus panamensis","-","Ephippidae","long_list","-","-","-"
"334893","Platax batavianus","-","Ephippidae","long_list","-","-","-"
"459920","Platax boersii","-","Ephippidae","long_list","-","-","-"
"75032","Platax orbicularis","-","Ephippidae","long_list","-","-","-"
"586848","Platax pinnatus","-","Ephippidae","long_list","-","-","-"
"334891","Platax teira","-","Ephippidae","long_list","-","-","-"
"-","Proteracanthus sarissophorus","-","Ephippidae","long_list","-","Proteracanthus sarissophorus","-"
"-","Rhinoprenes pentanemus","-","Ephippidae","long_list","-","Rhinoprenes pentanemus","-"
"1003990","Tripterodon orbis","-","Ephippidae","long_list","-","-","-"
"2609504","Zabidius novemaculeatus","-","Ephippidae","long_list","-","-","-"
"274456","Aurigequula fasciata","-","Leiognathidae","long_list","-","-","-"
"218812","Deveximentum hanedai","-","Leiognathidae","long_list","-","-","-"
"1633500","Deveximentum indicium","-","Leiognathidae","long_list","-","-","-"
"390672","Deveximentum insidiator","-","Leiognathidae","long_list","-","-","-"
"1633501","Deveximentum interruptum","-","Leiognathidae","long_list","-","-","-"
"218814","Deveximentum megalolepis","-","Leiognathidae","long_list","-","-","-"
"-","Deveximentum mekranense","-","Leiognathidae","long_list","-","Deveximentum mekranense","-"
"1890006","Equulites absconditus","-","Leiognathidae","long_list","-","-","-"
"-","Equulites aethopos","-","Leiognathidae","long_list","-","Equulites aethopos","-"
"218803","Equulites elongatus","-","Leiognathidae","long_list","-","-","-"
"1608156","Equulites klunzingeri","-","Leiognathidae","long_list","-","-","-"
"494378","Equulites laterofenestra","-","Leiognathidae","long_list","-","-","-"
"274459","Equulites leuciscus","-","Leiognathidae","long_list","-","-","-"
"334713","Equulites lineolatus","-","Leiognathidae","long_list","-","-","-"
"-","Equulites moretoniensis","-","Leiognathidae","long_list","-","Equulites moretoniensis","-"
"2012911","Equulites oblongus","-","Leiognathidae","long_list","-","-","-"
"1891639","Equulites popei","-","Leiognathidae","long_list","-","-","-"
"218807","Equulites rivulatus","-","Leiognathidae","long_list","-","-","-"
"218809","Equulites stercorarius","-","Leiognathidae","long_list","-","-","-"
"274457","Eubleekeria jonesi","-","Leiognathidae","long_list","-","-","-"
"-","Eubleekeria kupanensis","-","Leiognathidae","long_list","-","Eubleekeria kupanensis","-"
"2578278","Eubleekeria rapsoni","-","Leiognathidae","long_list","-","-","-"
"218808","Eubleekeria splendens","-","Leiognathidae","long_list","-","-","-"
"218816","Gazza achlamys","-","Leiognathidae","long_list","-","-","-"
"218818","Gazza dentex","-","Leiognathidae","long_list","-","-","-"
"218819","Gazza minuta","-","Leiognathidae","long_list","-","-","-"
"540058","Gazza rhombea","-","Leiognathidae","long_list","-","-","-"
"334393","Gazza squamiventralis","-","Leiognathidae","long_list","-","-","-"
"334402","Karalla daura","-","Leiognathidae","long_list","-","-","-"
"334403","Karalla dussumieri","-","Leiognathidae","long_list","-","-","-"
"435158","Leiognathus berbis","-","Leiognathidae","long_list","-","-","-"
"-","Leiognathus bindoides","-","Leiognathidae","long_list","-","Leiognathus bindoides","-"
"435159","Leiognathus brevirostris","-","Leiognathidae","long_list","-","-","-"
"2893490","Leiognathus equula","-","Leiognathidae","long_list","-","-","-"
"494377","Leiognathus longispinis","-","Leiognathidae","long_list","-","-","-"
"-","Leiognathus mazavasaoka","-","Leiognathidae","long_list","-","Leiognathus mazavasaoka","-"
"-","Leiognathus parviceps","-","Leiognathidae","long_list","-","Leiognathus parviceps","-"
"334401","Leiognathus robustus","-","Leiognathidae","long_list","-","-","-"
"435160","Leiognathus ruconius","-","Leiognathidae","long_list","-","-","-"
"979557","Leiognathus striatus","-","Leiognathidae","long_list","-","-","-"
"494376","Nuchequula blochii","-","Leiognathidae","long_list","-","-","-"
"1805461","Nuchequula flavaxilla","-","Leiognathidae","long_list","-","-","-"
"1856686","Nuchequula gerreoides","-","Leiognathidae","long_list","-","-","-"
"-","Nuchequula glenysae","-","Leiognathidae","long_list","-","Nuchequula glenysae","-"
"2012933","Nuchequula longicornis","-","Leiognathidae","long_list","-","-","-"
"494375","Nuchequula mannusella","-","Leiognathidae","long_list","-","-","-"
"218810","Nuchequula nuchalis","-","Leiognathidae","long_list","-","-","-"
"-","Photolateralis antongil","-","Leiognathidae","long_list","-","Photolateralis antongil","-"
"2578325","Photolateralis moretoniensis","-","Leiognathidae","long_list","-","-","-"
"-","Photolateralis polyfenestrus","-","Leiognathidae","long_list","-","Photolateralis polyfenestrus","-"
"1891638","Photolateralis stercorarius","-","Leiognathidae","long_list","-","-","-"
"274454","Photopectoralis aureus","-","Leiognathidae","long_list","-","-","-"
"274455","Photopectoralis bindus","-","Leiognathidae","long_list","-","-","-"
"-","Photopectoralis hataii","-","Leiognathidae","long_list","-","Photopectoralis hataii","-"
"274460","Photopectoralis panayensis","-","Leiognathidae","long_list","-","-","-"
"1633501","Secutor interruptus","-","Leiognathidae","long_list","-","-","-"
"435160","Secutor ruconius","-","Leiognathidae","long_list","-","-","-"
"-","Lobotes pacifica","-","Lobotidae","long_list","-","Lobotes pacifica","-"
"463596","Lobotes surinamensis","-","Lobotidae","long_list","-","-","-"
"75026","Luvarus imperialis","-","Luvaridae","long_list","-","-","-"
"1474870","Apolemichthys arcuatus","-","Pomacanthidae","long_list","-","-","-"
"1701550","Apolemichthys armitagei","-","Pomacanthidae","long_list","-","-","-"
"1680563","Apolemichthys griffisi","-","Pomacanthidae","long_list","-","-","-"
"-","Apolemichthys guezei","-","Pomacanthidae","long_list","-","Apolemichthys guezei","-"
"1003686","Apolemichthys kingi","-","Pomacanthidae","long_list","-","-","-"
"109717","Apolemichthys trimaculatus","-","Pomacanthidae","long_list","-","-","-"
"-","Apolemichthys xanthopunctatus","-","Pomacanthidae","long_list","-","Apolemichthys xanthopunctatus","-"
"2067682","Apolemichthys xanthotis","-","Pomacanthidae","long_list","-","-","-"
"109722","Apolemichthys xanthurus","-","Pomacanthidae","long_list","-","-","-"
"-","Centropyge abei","-","Pomacanthidae","long_list","sample_acquired","Centropyge abei","-"
"367072","Centropyge acanthops","-","Pomacanthidae","long_list","-","-","-"
"367073","Centropyge argi","-","Pomacanthidae","long_list","-","-","-"
"466111","Centropyge aurantia","-","Pomacanthidae","long_list","-","-","-"
"278853","Centropyge aurantonotus","-","Pomacanthidae","long_list","-","-","-"
"109723","Centropyge bicolor","-","Pomacanthidae","long_list","-","-","-"
"586785","Centropyge bispinosa","-","Pomacanthidae","long_list","sample_acquired","-","-"
"1474810","Centropyge boylei","-","Pomacanthidae","long_list","-","-","-"
"-","Centropyge cocosensis","-","Pomacanthidae","long_list","-","Centropyge cocosensis","-"
"1474811","Centropyge colini","-","Pomacanthidae","long_list","-","-","-"
"-","Centropyge debelius","-","Pomacanthidae","long_list","-","Centropyge debelius","-"
"1445868","Centropyge deborae","-","Pomacanthidae","long_list","-","-","-"
"109725","Centropyge eibli","-","Pomacanthidae","long_list","-","-","-"
"586786","Centropyge ferrugata","-","Pomacanthidae","long_list","-","-","-"
"367075","Centropyge fisheri","-","Pomacanthidae","long_list","-","-","-"
"1474812","Centropyge flavipectoralis","-","Pomacanthidae","long_list","-","-","-"
"586787","Centropyge flavissima","-","Pomacanthidae","long_list","-","-","-"
"586788","Centropyge heraldi","-","Pomacanthidae","long_list","sample_acquired","-","-"
"2584973","Centropyge hotumatua","-","Pomacanthidae","long_list","-","-","-"
"1474813","Centropyge interrupta","-","Pomacanthidae","long_list","-","-","-"
"1474814","Centropyge joculator","-","Pomacanthidae","long_list","-","-","-"
"586789","Centropyge loriculus","-","Pomacanthidae","long_list","-","-","-"
"586790","Centropyge multicolor","-","Pomacanthidae","long_list","-","-","-"
"109731","Centropyge multispinis","-","Pomacanthidae","long_list","-","-","-"
"1474815","Centropyge nahackyi","-","Pomacanthidae","long_list","-","-","-"
"1474816","Centropyge narcosis","-","Pomacanthidae","long_list","-","-","-"
"2923461","Centropyge nigriocellus","-","Pomacanthidae","long_list","-","-","-"
"109732","Centropyge nox","-","Pomacanthidae","long_list","-","-","-"
"109733","Centropyge potteri","-","Pomacanthidae","long_list","-","-","-"
"367074","Centropyge resplendens","-","Pomacanthidae","long_list","-","-","-"
"1474817","Centropyge shepardi","-","Pomacanthidae","long_list","-","-","-"
"109734","Centropyge tibicen","-","Pomacanthidae","long_list","-","-","-"
"1474818","Centropyge venusta","-","Pomacanthidae","long_list","-","-","-"
"109736","Centropyge vrolikii","-","Pomacanthidae","long_list","-","-","-"
